id,country,year,life_expectancy,country_name
849198,ZMB,2015,60.49665,Zambia
861849,NZL,2000,78.57108,New Zealand
862558,TON,2000,70.91869,Tonga
876748,CIV,2019,62.91527,Côte d’Ivoire
894525,BHS,2010,72.95849,Bahamas
899460,CRI,2015,80.7813,Costa Rica
900407,HND,2019,71.93507,Honduras
905572,ARM,2000,71.88136,Armenia
939403,UKR,2019,73.01635,Ukraine
966654,CHE,2000,79.71678,Switzerland
968785,ALB,2000,73.54528,Albania
972587,JPN,2015,83.61682,Japan
980119,BRB,2010,75.88476,Barbados
987596,WSM,2019,70.45068,Samoa
1009750,KWT,2010,79.83041,Kuwait
1020806,COD,2019,62.35105,Congo - Kinshasa
1021536,ERI,2000,54.51377,Eritrea
1064146,GUY,2000,62.96075,Guyana
1074621,ARE,2010,74.86285,United Arab Emirates
1077141,ECU,2015,77.18231,Ecuador
1078748,LVA,2015,74.79697,Latvia
1079768,FSM,2000,61.19261,Micronesia (Federated States of)
1087036,VEN,2010,74.78663,Venezuela
1097587,ISR,2000,78.57471,Israel
1099851,ARM,2010,73.11896,Armenia
1109474,TCD,2000,51.07935,Chad
1113974,SYR,2000,71.45632,Syria
1114609,MEX,2019,76.01043,Mexico
1119880,LTU,2019,75.99383,Lithuania
1131743,BGD,2000,65.58728,Bangladesh
1140678,UGA,2010,59.66988,Uganda
1145589,GTM,2000,66.78309,Guatemala
1188314,TKM,2015,69.11091,Turkmenistan
1197968,ATG,2015,76.13984,Antigua & Barbuda
1209969,GNQ,2010,59.65091,Equatorial Guinea
1224673,SDN,2019,69.14727,Sudan
1247775,ISR,2010,81.55505,Israel
1254938,OMN,2010,70.36497,Oman
1255887,ROU,2000,71.39459,Romania
1259169,MOZ,2015,55.94504,Mozambique
1263627,TCD,2010,55.65166,Chad
1276469,COM,2010,64.97557,Comoros
1285038,IRN,2015,76.66063,Iran
1289201,AUT,2015,80.98208,Austria
1292192,YEM,2000,62.6944,Yemen
1306951,LBR,2015,61.16508,Liberia
1306986,IRN,2019,77.34517,Iran
1314889,HRV,2000,74.3574,Croatia
1319633,TTO,2015,74.61483,Trinidad & Tobago
1324291,ARG,2010,75.43737,Argentina
1328590,KGZ,2010,69.17432,Kyrgyzstan
1346053,GNQ,2019,62.19166,Equatorial Guinea
1348119,GHA,2000,59.2442,Ghana
1357298,OMN,2000,69.07159,Oman
1364636,NPL,2000,65.25922,Nepal
1376275,PAK,2000,60.0836,Pakistan
1390488,CPV,2015,74.88204,Cape Verde
1394241,SOM,2019,56.46892,Somalia
1413094,JPN,2000,81.12236,Japan
1415439,PNG,2019,65.30473,Papua New Guinea
1426003,BOL,2000,66.01998,Bolivia
1426632,NAM,2015,62.86888,Namibia
1428124,UZB,2015,71.44585,Uzbekistan
1429524,NIC,2015,74.61766,Nicaragua
1433393,VEN,2000,74.08585,Venezuela
1454830,BFA,2019,62.7035,Burkina Faso
1467617,PHL,2010,69.96309,Philippines
1472802,KEN,2000,53.87265,Kenya
1473397,PNG,2010,63.42075,Papua New Guinea
1476963,PAK,2019,65.60827,Pakistan
1492863,PRY,2000,74.79564,Paraguay
1499659,LTU,2000,72.03902,Lithuania
1507488,UZB,2000,65.26546,Uzbekistan
1510898,WSM,2015,70.03727,Samoa
1513295,SLB,2000,62.51012,Solomon Islands
1515613,ERI,2019,64.08144,Eritrea
1515765,TJK,2000,65.57712,Tajikistan
1524877,UGA,2015,64.46594,Uganda
1553026,SLE,2015,56.93931,Sierra Leone
1555347,TJK,2019,69.50127,Tajikistan
1604041,MNG,2010,65.0518,Mongolia
1612100,IND,2000,62.10872,India
1615149,LAO,2000,58.40971,Laos
1615241,SLB,2015,64.74374,Solomon Islands
1632846,DOM,2000,73.2209,Dominican Republic
1636247,TKM,2019,69.74881,Turkmenistan
1668517,BGR,2000,71.60985,Bulgaria
1688683,BGR,2015,74.55482,Bulgaria
1702032,MDG,2015,64.18649,Madagascar
1711936,PRT,2019,81.57421,Portugal
1738565,ETH,2015,66.82242,Ethiopia
1773552,COD,2015,60.44355,Congo - Kinshasa
1773583,LUX,2000,78.2397,Luxembourg
1778981,ZAF,2010,57.14331,South Africa
1789803,GRC,2000,78.17218,Greece
1793514,MDV,2010,76.99346,Maldives
1793534,LBY,2010,76.03725,Libya
1800470,KOR,2019,83.3047,South Korea
1803315,SDN,2000,62.46532,Sudan
1824050,BWA,2015,60.92577,Botswana
1828215,GRC,2015,80.37633,Greece
1837551,TZA,2010,61.38839,Tanzania
1845111,DNK,2015,80.59389,Denmark
1847779,VNM,2000,71.44998,Vietnam
1862542,DEU,2015,80.42174,Germany
1865818,THA,2019,77.6988,Thailand
1870894,VEN,2015,74.65737,Venezuela
1870958,MNE,2000,73.56364,Montenegro
1879062,MUS,2010,73.24183,Mauritius
1901391,PRY,2010,74.98831,Paraguay
1912209,PNG,2000,63.28541,Papua New Guinea
1941996,JAM,2015,75.85057,Jamaica
1946066,CYP,2015,82.01412,Cyprus
1961737,SSD,2000,54.1488,South Sudan
1965107,BDI,2000,43.78423,Burundi
1971842,IRN,2000,72.56416,Iran
1974958,CHL,2000,76.77242,Chile
2000191,GEO,2019,73.2812,Georgia
2017960,GEO,2010,71.87132,Georgia
2023568,GBR,2019,81.40353,United Kingdom
2043997,IDN,2000,67.17435,Indonesia
2044076,LBY,2000,74.39559,Libya
2051228,BLR,2015,73.81525,Belarus
2053669,TLS,2015,68.86667,Timor-Leste
2063425,COL,2019,79.31356,Colombia
2075193,GTM,2019,72.01939,Guatemala
2076757,SEN,2010,65.47308,Senegal
2079443,GMB,2015,64.14439,Gambia
2105060,AGO,2015,61.71907,Angola
2107247,DZA,2010,75.85488,Algeria
2111974,COD,2010,57.50722,Congo - Kinshasa
2118182,GMB,2000,59.24446,Gambia
2126904,LBR,2019,64.07872,Liberia
2131831,SUR,2015,72.60451,Suriname
2132089,ALB,2010,76.24688,Albania
2137248,COD,2000,52.44439,Congo - Kinshasa
